component_id,module,component_path,status,type,has_router,has_service,has_models,persistence,auth_surface,import_refs,migration_priority,owner
app.fleet,fleet,backend/app/modules/fleet,standby,app-module,true,true,false,partial,unknown,3,medium,unassigned
app.foundation,foundation,backend/app/modules/foundation,active,app-module,true,true,false,partial,guarded,6,medium,unassigned
app.fred_bridge,fred_bridge,backend/app/modules/fred_bridge,standby,app-module,true,true,true,db-backed,guarded,6,medium,unassigned
app.genesis,genesis,backend/app/modules/genesis,library,app-module,false,false,false,none,n/a,25,low,unassigned
app.genetic_integrity,genetic_integrity,backend/app/modules/genetic_integrity,active,app-module,true,true,true,db-backed,guarded,19,low,unassigned
app.genetic_quarantine,genetic_quarantine,backend/app/modules/genetic_quarantine,active,app-module,true,true,true,db-backed,guarded,10,low,unassigned
app.governance,governance,backend/app/modules/governance,active,app-module,false,false,false,none,n/a,5,medium,unassigned
app.governor,governor,backend/app/modules/governor,active,app-module,true,true,false,partial,guarded,37,medium,unassigned
app.hardware,hardware,backend/app/modules/hardware,standby,app-module,true,false,false,none,guarded,1,medium,unassigned
app.health_monitor,health_monitor,backend/app/modules/health_monitor,active,app-module,true,true,true,db-backed,guarded,1,low,unassigned
app.immune,immune,backend/app/modules/immune,active,app-module,true,false,false,none,guarded,30,medium,unassigned
app.immune_orchestrator,immune_orchestrator,backend/app/modules/immune_orchestrator,active,app-module,true,true,true,db-backed,guarded,15,low,unassigned
app.integrations,integrations,backend/app/modules/integrations,library,app-module,false,false,false,none,n/a,5,low,unassigned
app.ir_governance,ir_governance,backend/app/modules/ir_governance,standby,app-module,true,false,false,none,guarded,54,medium,unassigned
app.karma,karma,backend/app/modules/karma,active,app-module,true,false,false,none,guarded,5,medium,unassigned
app.knowledge_graph,knowledge_graph,backend/app/modules/knowledge_graph,standby,app-module,true,true,false,partial,guarded,0,medium,unassigned
app.learning,learning,backend/app/modules/learning,standby,app-module,true,true,true,db-backed,guarded,11,medium,unassigned
app.llm_router,llm_router,backend/app/modules/llm_router,standby,app-module,true,true,false,partial,guarded,2,medium,unassigned
app.memory,memory,backend/app/modules/memory,standby,app-module,true,true,true,db-backed,guarded,8,medium,unassigned
app.metrics,metrics,backend/app/modules/metrics,library,app-module,false,false,false,none,n/a,1,low,unassigned
app.missions,missions,backend/app/modules/missions,standby,app-module,true,true,true,db-backed,guarded,1,high,unassigned
app.monitoring,monitoring,backend/app/modules/monitoring,standby,app-module,true,false,false,none,unknown,5,medium,unassigned
app.neurorail,neurorail,backend/app/modules/neurorail,active,app-module,false,false,false,none,n/a,130,medium,unassigned
app.opencode_repair,opencode_repair,backend/app/modules/opencode_repair,active,app-module,true,true,true,db-backed,guarded,11,low,unassigned
app.paycore,paycore,backend/app/modules/paycore,active,app-module,true,true,true,db-backed,guarded,2,low,unassigned
app.physical_gateway,physical_gateway,backend/app/modules/physical_gateway,standby,app-module,true,true,false,partial,guarded,1,medium,unassigned
app.planning,planning,backend/app/modules/planning,standby,app-module,true,true,false,partial,guarded,7,medium,unassigned
app.policy,policy,backend/app/modules/policy,active,app-module,true,true,false,partial,guarded,23,medium,unassigned
app.recovery_policy_engine,recovery_policy_engine,backend/app/modules/recovery_policy_engine,active,app-module,true,true,true,db-backed,guarded,20,low,unassigned
app.ros2_bridge,ros2_bridge,backend/app/modules/ros2_bridge,standby,app-module,true,false,false,none,guarded,5,medium,unassigned
app.runtime_auditor,runtime_auditor,backend/app/modules/runtime_auditor,standby,app-module,true,true,false,partial,guarded,9,medium,unassigned
app.safe_mode,safe_mode,backend/app/modules/safe_mode,standby,app-module,true,true,false,partial,guarded,3,medium,unassigned
app.skills,skills,backend/app/modules/skills,standby,app-module,true,true,true,db-backed,guarded,6,medium,unassigned
app.slam,slam,backend/app/modules/slam,standby,app-module,true,false,false,none,guarded,0,medium,unassigned
app.sovereign_mode,sovereign_mode,backend/app/modules/sovereign_mode,active,app-module,true,true,false,partial,guarded,49,medium,unassigned
app.supervisor,supervisor,backend/app/modules/supervisor,active,app-module,true,true,false,partial,guarded,13,high,unassigned
app.system_health,system_health,backend/app/modules/system_health,standby,app-module,true,true,false,partial,guarded,7,medium,unassigned
app.task_queue,task_queue,backend/app/modules/task_queue,active,app-module,true,true,true,db-backed,guarded,1,low,unassigned
app.telemetry,telemetry,backend/app/modules/telemetry,standby,app-module,true,true,false,partial,guarded,3,medium,unassigned
app.template_registry,template_registry,backend/app/modules/template_registry,library,app-module,false,false,false,none,n/a,11,low,unassigned
app.threats,threats,backend/app/modules/threats,active,app-module,true,true,true,db-backed,guarded,15,low,unassigned
app.tool_system,tool_system,backend/app/modules/tool_system,standby,app-module,true,true,false,partial,guarded,12,medium,unassigned
app.vision,vision,backend/app/modules/vision,standby,app-module,true,false,false,none,guarded,0,medium,unassigned
app.webgenesis,webgenesis,backend/app/modules/webgenesis,standby,app-module,true,true,false,partial,guarded,11,medium,unassigned
legacy.connector_hub,connector_hub,backend/modules/connector_hub,legacy,legacy-module,false,false,false,legacy,unknown,0,high,unassigned
legacy.example_module,example_module,backend/modules/example_module,legacy,legacy-module,false,false,false,legacy,unknown,0,high,unassigned
legacy.mission_system,mission_system,backend/modules/mission_system,legacy,legacy-module,false,false,false,legacy,unknown,0,high,unassigned
legacy.missions,missions,backend/modules/missions,legacy,legacy-module,false,false,false,legacy,unknown,0,high,unassigned
legacy.supervisor,supervisor,backend/modules/supervisor,legacy,legacy-module,true,true,false,legacy,unknown,0,high,unassigned
